sample,group,tmin,tmax
,,10.67798,10.866144
,,12.052907,12.281414
,,13.227274,13.526775
,,16.166614,16.400153
,,17.767706,18.275378
MSA74a2,MSA,0.162209,2.71467
,,2.912706,5.259797
MSA52a1,MSA,12.892022,12.949844
MSA64i1,MSA,11.625206,12.011117
,,13.154508,13.463
,,17.203671,17.903178
,,18.301114,18.934793
MSA17a,MSA,11.231349,11.287547
,,11.723236,12.776691
MSA50a2,MSA,12.264327,12.454268
,,13.974821,14.38857
,,15.24689,15.386731
,,15.543523,15.810492
,,16.619875,16.857181
,,17.111437,17.276704
,,17.408069,17.586049
MSA72a1,MSA,4.300002,4.779728
,,6.060141,6.34465
,,6.662321,7.872235
,,8.697947,9.907817
MSA37a1,MSA,4.768957,5.249847
,,6.625068,7.207696
,,7.402474,7.819369
MSA14i,MSA,17.850721,17.982346
,,18.863411,18.999176
,,19.647853,19.752789
,,21.138973,21.342352
MSA60i1,MSA,0.225918,0.301199
,,16.126369,16.610564
MSA37a2,MSA,8.062153,8.258419
,,10.228307,10.386161
,,10.729012,11.519947
MSA72a2,MSA,1.710311,1.845942
,,10.950482,11.160174
MSA18i,MSA,7.966203,8.089298
MSA56a2,MSA,3.689888,3.899683
,,4.081318,4.184104
MSA34i,MSA,1.886227,2.304712
,,5.782033,5.92413
,,6.2911,6.633236
MSA60i2,MSA,1.234736,1.373484
,,7.489971,7.684941
,,17.506751,17.614326
,,18.106557,18.293083
,,18.518994,18.924616
,,19.478753,19.680084
MSA25i2,MSA,19.543926,19.723889
,,20.446046,20.628316
,,21.449684,21.588116
MSA14a2,MSA,10.667845,10.874889
,,11.969768,12.5509
,,13.032576,13.320349
,,13.438753,14.247359
,,14.355013,15.084672
MSA25i,MSA,12.742017,12.85644
,,15.59832,15.807369
,,16.101807,17.076299
,,17.338537,17.901865
,,18.470733,18.645559
,,18.94341,19.027585
,,19.846676,19.969702
,,20.933077,21.130565
MSA73a2,MSA,3.680037,3.784839
,,5.144618,5.226357
,,6.929619,7.025043
MSA61i2,MSA,4.259219,4.327899
,,8.949212,9.103384
MSA57a2,MSA,19.419599,19.790306
,,20.499078,21.029737
,,21.376107,21.481139
,,22.042731,22.850462
MSA55a2,MSA,5.144037,6.251194
MSA10a2,MSA,3.041332,3.228952
,,5.33343,5.562936
,,5.87294,5.934385
,,6.973864,7.217802
,,7.751551,8.199331
,,9.033128,9.496349
MSA73a1,MSA,4.712804,4.818174
,,12.548371,12.664536
MSA10a,MSA,0.625381,1.358765
,,8.980439,9.147814
,,10.321442,10.44838
,,10.665474,11.105478
MSA61i1,MSA,6.286065,6.546504
,,7.088936,7.299428
,,9.10071,9.450717
,,10.546532,11.089534
MSA34a2,MSA,5.250925,5.41883
MSA57a1,MSA,24.614735,24.916266
,,25.342076,25.570261
,,26.18506,26.291004
,,26.635875,26.829425
,,28.143017,28.645215
,,28.849598,29.532821
,,29.725525,30.326995
,,30.480451,30.782918
,,30.959513,31.40074
,,31.563297,32.074191
MSA50i1,MSA,2.318527,2.945808
,,3.121753,3.668712
,,3.756684,3.913504
,,5.786124,6.015617
,,6.727046,7.021562
,,7.557046,7.89746
,,8.175574,8.531288
,,11.035896,11.42221
,,11.99228,12.577487
MSA21a2,MSA,0.46502,9.956806
MSA64a2,MSA,7.844331,8.034989
,,10.532115,10.991793
MSA17i2,MSA,7.035102,14.064471
MSA50i2,MSA,1.754559,2.109486
,,2.380901,2.756706
,,2.854137,3.285617
,,3.814527,4.232088
,,4.899902,5.006036
,,5.876958,6.256561
MSA64a1,MSA,14.349726,14.789942
MSA42a2,MSA,10.639212,10.766361
MSA25a,MSA,35.428073,35.530637
MSA60a1,MSA,3.924954,4.014266
,,4.348858,4.497057
,,4.761701,4.865707
,,9.06152,9.157173
MSA56i1,MSA,6.284399,6.340994
MSA25a2,MSA,6.100432,6.26065
,,7.465188,7.559752
,,11.339742,11.396028
,,16.313252,16.462361
,,18.239775,18.441677
,,19.170829,19.619527
,,20.178332,20.660304
,,21.944623,22.146638
,,22.889656,23.474305
,,24.05817,24.316504
,,25.928909,26.07847
,,26.608734,27.043822
,,27.625142,28.214323
,,28.617686,29.202336
,,29.587716,30.07719
,,30.657307,30.843126
MSA60a2,MSA,0.642051,0.725185
,,2.656905,2.773627
,,5.171876,5.280084
,,7.50197,7.641574
MSA14i2,MSA,19.354625,19.562728
MSA58a1,MSA,9.027816,9.290369
,,14.673561,14.988569
MSA21i,MSA,4.531674,9.338455
MSA65a1,MSA,2.578513,3.112604
,,7.590968,7.70475
